Building,Space,Capacity (Seats),Type of Space
,,,
Building 07,B07.F1.01,25,Classroom
,B07.F1.02,,Classroom
,B07.F1.04,25,Computer Lab
,B07.F1.20,25,Classroom
,B07.F1.21,25,Classroom
,B07.F1.22,25,Classroom
,B07.F1.23,25,Classroom
,B07.F1.24,25,Classroom
,B07.G.01,75,Classroom
,B07.G.12,,Computer Lab
Building 08,B08.F1.06,50,Classroom
,B08.F1.07,25,Classroom
,B08.F1.10,25,Classroom
,B08.F1.11,25,Classroom
,B08.F1.25,25,Classroom
,B08.G.41,75,Classroom
Building 09,B09.F1.04,25,Classroom
,B09.F1.05,25,Classroom
,B09.F1.09,15,Classroom
,B09.F1.12,15,Classroom
,B09.F1.13,25,Classroom
,B09.F1.14,25,Classroom
,B09.F1.22,25,Classroom
,B09.G.35,75,Classroom
Building 10,B10.F1.06,25,Classroom
,B10.F1.07,25,Classroom
,B10.F1.08,25,Classroom
,B10.F1.10,25,Classroom
,B10.F1.11,25,Classroom
,B10.F1.18,25,Classroom
Building 17,B17.F1.03,75,Classroom
,B17.F1.08,25,Classroom
,B17.F1.09,25,Classroom
,B17.F1.13,25,Classroom
,B17.F1.14,25,Classroom
,B17.F1.15,75,Classroom
,B17.F1.16,75,Classroom
,B17.F1.17,25,Classroom
,B17.F1.18,25,Classroom
,B17.G.01,,Computer Lab
,B17.G.02,25,Classroom
,B17.G.04,25,Classroom
,B17.G.07,25,Classroom
,B17.G.08,25,Classroom
,B17.G.09,75,Classroom
,B17.G.12,25,Classroom
,B17.G.16,,Computer Lab
,B17.G.17,,Computer Lab
,B17.G.19,25,Classroom
,B17.G.20,25,Classroom
,B17.G.21,25,Classroom
,B17.G.22,,Computer Lab
Building 18,B18.F1.01,50,Classroom
,B18.F1.02,25,Classroom
,B18.F1.05,50,Classroom
,B18.F1.08,25,Classroom
,B18.F1.10,50,Classroom
,B18.F1.12,25,Classroom
,B18.F1.13,25,Classroom
,B18.F1.14,50,Classroom
,B18.F1.19,50,Classroom
,B18.F1.20,25,Classroom
,B18.G.01,,Computer Lab
,B18.G.02,25,Classroom
,B18.G.03,25,Classroom
,B18.G.04,25,Classroom
,B18.G.05,,Computer Lab
,B18.G.07,25,Classroom
,B18.G.08,75,Classroom
,B18.G.09,50,Classroom
,B18.G.11,25,Classroom
,B18.G.12,25,Classroom
,B18.G.13,50,Classroom
,B18.G.14,,Computer Lab
,B18.G.16,25,Classroom
,B18.G.17,,Computer Lab
,B18.G.18,50,Computer Lab
,B18.G.19,25,Classroom
,B18.G.20,25,Classroom
,B18.G.21,50,Classroom
Building 25,B25.F1.10,25,Classroom
,B25.F1.11,25,Classroom
,B25.F1.13,25,Classroom
,B25.F1.14,25,Classroom
,B25.F1.18,25,Classroom
,B25.G.02,25,Classroom
,B25.G.04,25,Classroom
,B25.G.05,25,Classroom
,B25.G.13,50,Classroom
,B25.G.15,,bio lab
,B25.G.16,25,Classroom
,B25.G.17,25,Classroom
Building 26,B26.F1.01,75,Classroom
,B26.F1.02,25,Classroom
,B26.F1.03,25,Classroom
,B26.F1.04,25,Classroom
,B26.F1.08,75,Classroom
,B26.F1.10,75,Classroom
,B26.F1.12,25,Classroom
,B26.F1.13,75,Classroom
,B26.F1.16,75,Classroom
,B26.F1.19,25,Drawing Studio
,B26.G.01,50,Drawing Studio
,B26.G.02,50,Classroom
,B26.G.03,25,Classroom
,B26.G.04,25,Classroom
,B26.G.06,25,Classroom
,B26.G.07,25,Classroom
,B26.G.08,75,Classroom
,B26.G.10,25,Classroom
,B26.G.11,50,Drawing Studio
,B26.G.12,25,Classroom
,B26.G.13,25,Classroom
,B26.G.14,50,Classroom
,B26.G.18,25,Classroom
,B26.G.19,50,Drawing Studio
,B26.G.20,25,Classroom
,B26.G.21,75,Classroom
CoE,coe.F1.14,,Physics Lab
CoE,coe.F1.12,50,FoE Drawing Lab
Hall - Blue,Hall,150,Hall
Hall - Green,Hall,150,Hall
Hall - Red,Hall,150,Hall
Hall - Yellow,Hall,150,Hall
,,,
B7,B07.Theater,100,Theater
B8,B08.Theater,100,Theater
B9,B09.Theater,100,Theater
B10,B10.Theater,100,Theater
B25,B25.G-21,100,Theater
B25,B25.F1-19,100,Theater
B18,B18.F1-21,100,Theater
B26,B26.G-22 ,100,Theater
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,